Link,Letter status,School,Program,Deadline,App_Status,,,,
https://www.spatialreu.org/application,x,Georgetown University,SPIRAL and SPATIAL-Stats,x,x,us citizen,,,
https://bigdatareu.umbc.edu/,x,University of Maryland Baltimore County,Online Interdisciplinary Big Data Analytics in Science and Engineering REU,x,x,us citizen,,,
https://engineering.wustl.edu/academics/undergraduate-research/WUSEF.html,x,Washington University,Summer Engineering Fellowship Program (WUSEF),x,x,us citizen,,,
https://mrsec.columbia.edu/content/research-experiences-undergraduates-reu,x,Columbia University,REU,x,x,no AI,,,
https://www.cmu.edu/uro/sura/index.html,x,CMU,SURA,x,x,I dont understand its process,,,
https://www-csli.stanford.edu/csli-summer-internship-program-2023,x,Stanford,CSLI,x,x,not open for 2023,,,
https://www.mathprograms.org/db/programs/1216,x,Cornell,2022 Cornell Summer Research Programs for Undergraduates,x,x,not yet updated,,,
"https://math.cornell.edu/undergraduate-research, https://math.cornell.edu/history-reu-and-spur-summer-program-undergraduate-research-programs",x,Cornell,SPUR,x,x,Self-funded,,,
https://www.mathprograms.org/db/programs/1199,x,Brown,Summer@ICERM,x,x,,,,
https://www.mathprograms.org/db/programs/1245,x,Georgia Technology, ,x,x,,,,
https://www.mathprograms.org/db/programs/1215,x,Emory University,NSF REU/RET Computational Mathematics for Data Science,x,x,,,,
https://vermontcomplexsystems.org/events/SummerREU/,x,Uni of Vermont,REU,x,x,for 2020 season,,,
https://www.uah.edu/cpu2al/career-opportunities/cippta,x,UAlabama at Hun,Corporate Internship Program on Plasma Technology Applications (CIPPTA),x,x,,,,
https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship,x,Google,Generation Google Scholarship (North America),x,x,,,,
https://www.aps.org/programs/women/scholarships/ibm/index.cfm,x,IBM,APS/IBM Research Internship for Undergraduate Women and Underrepresented Minorities,x,x,,,,
https://cqn-erc.org/2022-reu/,x,Center for Quantum Networks,REU,x,x,,,,
https://hubmapconsortium.org/internship-program/,x,HuBMAP,Underrepresented Student Internship Program,x,x,no AI,,,
https://sph.umich.edu/bdsi/application.html,x,UMich,Transforming Analytical Learning in the Era of Big Data: A Summer Institute in Biostatistics (SIBS) Program,x,x,us citizen,,,
https://sinews.siam.org/Details-Page/siam-establishes-the-siam-simons-undergraduate-summer-research-program,x,SIAM,SIAM-Simons Undergraduate Summer Research Program,x,x,"us citizen, math focus",,,
https://cra.org/cra-wp/dreu/,x,CRA-WP,Distributed Research Experiences for Undergraduates (DREU),x,x,limit for int'l student,,,
https://uwaterloo.ca/institute-for-quantum-computing/useqip,x,U Waterloo,Undergraduate School on Experimental Quantum Information Processing,x,x,2 week studying program,,,
https://reu.ncsa.illinois.edu/,x,UIUC,REU FoDOMMaT,x,x,us citizen,,,
https://research.google/outreach/csrmp/,x,Google,CS research mentorship program,x,x,virtual,I am here https://research.google/outreach/csrmp/recipients/#:~:text=Quan%20H.%20Nguyen,,
,,,,,,,,,
Sources that gather all programs,,,,,,,,,
https://www.pathwaystoscience.org/,,,,,,,,,
https://reufinder.com/programs-for-international-students-daca-undocumented-students/,,,,,,,,,
List of REUs from 2021 (other source). Here is example for 2023.,,,,,,,,,
https://eecs.berkeley.edu/academics/undergraduate/summer-research/other,,,,,,,,,
https://www.umass.edu/ours/opportunities.html,,,,,,,,,
https://www.holycross.edu/office-science-coordinator/campus-summer-science-research-opportunities-2022,,,,,,,,,
https://www.colby.edu/physicsastronomy/internships-for-international-students/,,,,,,,,,
https://www.rochester.edu/college/ugresearch/opportunities/summer-international-students.html,,,,,,,,,
https://www.csulb.edu/sites/default/files/u83586/summer_2022_research_opportunities.pdf,,,,,,,,,
https://www.ucl.ac.uk/students/go-abroad/short-term-global-opportunities/summer-research,,,,,,,,,
https://computerscience.kzoo.edu/reu/,,,,,,,,,
